annotation_name,annotator_kind,metadata,identifier,id,created_at,updated_at,source,user_id,result.label,result.score,result.explanation
Query Context Relevance & Supporting Evidence,LLM,{},,U3BhbkFubm90YXRpb246MzMy,2025-08-18T04:51:56+00:00,2025-08-18T04:51:56+00:00,API,,,0.7769064263205308,"Query–Context relevance: 0.78 (Top-5 avg).
Top supporting context sentences:
1. **Troubleshooting Issues with Company-Issued Tablets** | Sim=0.83
2. This article provides step-by-step guidance for troubleshooting common issues with company-issued tablets. | Sim=0.82
3. **Step 1: Power Cycle the Tablet** | Sim=0.75
4. Identify the app that is experiencing issues. | Sim=0.74
5. Identify the app that is experiencing issues. | Sim=0.74"
Query Context Relevance & Supporting Evidence,LLM,{},,U3BhbkFubm90YXRpb246MzMx,2025-08-18T04:51:56+00:00,2025-08-18T04:51:56+00:00,API,,,0.8365485438277787,"Query–Context relevance: 0.84 (Top-5 avg).
Top supporting context sentences:
1. Backing up important files is a crucial step in protecting your data from loss or corruption. | Sim=0.86
2. **Creating a Backup of Important Files** | Sim=0.85
3. By following these steps, you can ensure that your important files are safely backed up and protected from loss or corruption. | Sim=0.84
4. Copy your important files to your chosen backup device. | Sim=0.83
5. This article will guide you through the process of creating a backup of your important files. | Sim=0.81"
Query Context Relevance & Supporting Evidence,LLM,{},,U3BhbkFubm90YXRpb246MzMw,2025-08-18T04:51:56+00:00,2025-08-18T04:51:56+00:00,API,,,0.825779631903243,"Query–Context relevance: 0.83 (Top-5 avg).
Top supporting context sentences:
1. To set up a conference call on Cisco Webex, follow these steps: | Sim=0.86
2. By following these steps, you can successfully set up and host a conference call on Cisco Webex. | Sim=0.85
3. If you want to enable video conferencing, click on the ""Video"" tab and select ""Cisco Webex Video"" as the default video type. | Sim=0.83
4. In the ""Audio"" section, select ""Cisco Webex Audio"" as the default audio type. | Sim=0.81
5. **Step 1: Log in to Cisco Webex** | Sim=0.78"
Query Context Relevance & Supporting Evidence,LLM,{},,U3BhbkFubm90YXRpb246MzI5,2025-08-18T04:51:56+00:00,2025-08-18T04:51:56+00:00,API,,,0.783924609454288,"Query–Context relevance: 0.78 (Top-5 avg).
Top supporting context sentences:
1. Open the Microsoft Office application experiencing issues. | Sim=0.79
2. Before proceeding with troubleshooting, try restarting the Microsoft Office application that is experiencing issues. | Sim=0.79
3. * If experiencing issues with a specific file, try opening the file on a different computer or in a different Microsoft Office application to isolate the problem. | Sim=0.78
4. Try opening a new, blank document to see if the issue persists. | Sim=0.78
5. Try opening a new, blank document to see if the issue persists. | Sim=0.78"
Query Context Relevance & Supporting Evidence,LLM,{},,U3BhbkFubm90YXRpb246MzI4,2025-08-18T04:51:56+00:00,2025-08-18T04:51:56+00:00,API,,,0.8184117008151508,"Query–Context relevance: 0.82 (Top-5 avg).
Top supporting context sentences:
1. This article provides step-by-step instructions for configuring VPN access for remote workers. | Sim=0.84
2. **Configuring VPN Access for Remote Workers** | Sim=0.84
3. In the VPN client software, click on ""New Connection"" and select ""Company VPN"" as the connection type. | Sim=0.80
4. By following these steps, remote workers can securely connect to the company network and access company resources from anywhere. | Sim=0.80
5. This allows employees working from home or other remote locations to securely connect to the company network and access company resources. | Sim=0.80"
Query Context Relevance & Supporting Evidence,LLM,{},,U3BhbkFubm90YXRpb246MzI3,2025-08-18T04:51:56+00:00,2025-08-18T04:51:56+00:00,API,,,0.8601373891916972,"Query–Context relevance: 0.86 (Top-5 avg).
Top supporting context sentences:
1. **Resetting a Forgotten PIN** | Sim=0.89
2. If you have forgotten your PIN, you can reset it using the following steps: | Sim=0.88
3. If you are unable to reset your PIN using the self-service tool, please contact the IT Helpdesk for assistance. | Sim=0.86
4. **Step 4: Reset Your PIN** | Sim=0.84
5. By following these steps, you should be able to reset your forgotten PIN and regain access to company systems and applications. | Sim=0.83"
Query Context Relevance & Supporting Evidence,LLM,{},,U3BhbkFubm90YXRpb246MzI2,2025-08-18T04:51:56+00:00,2025-08-18T04:51:56+00:00,API,,,0.8411356466593711,"Query–Context relevance: 0.84 (Top-5 avg).
Top supporting context sentences:
1. **Setting Up a Mobile Device for Company Email** | Sim=0.91
2. **Step 2: Set Up Email Account on Mobile Device** | Sim=0.86
3. Please follow the steps below to set up your email account on your Android device. | Sim=0.82
4. **Configuring Email on an Android Device** | Sim=0.81
5. This article provides step-by-step instructions on how to configure email on an Android device. | Sim=0.81"
Query Context Relevance & Supporting Evidence,LLM,{},,U3BhbkFubm90YXRpb246MzI1,2025-08-18T04:51:56+00:00,2025-08-18T04:51:56+00:00,API,,,0.7769106399072215,"Query–Context relevance: 0.78 (Top-5 avg).
Top supporting context sentences:
1. **Troubleshooting Issues with Company-Issued Tablets** | Sim=0.83
2. This article provides step-by-step guidance for troubleshooting common issues with company-issued tablets. | Sim=0.82
3. **Step 1: Power Cycle the Tablet** | Sim=0.75
4. Identify the app that is experiencing issues. | Sim=0.74
5. Identify the app that is experiencing issues. | Sim=0.74"
Query Context Relevance & Supporting Evidence,LLM,{},,U3BhbkFubm90YXRpb246MzI0,2025-08-18T04:51:56+00:00,2025-08-18T04:51:56+00:00,API,,,0.8366197170348475,"Query–Context relevance: 0.84 (Top-5 avg).
Top supporting context sentences:
1. Backing up important files is a crucial step in protecting your data from loss or corruption. | Sim=0.86
2. **Creating a Backup of Important Files** | Sim=0.85
3. By following these steps, you can ensure that your important files are safely backed up and protected from loss or corruption. | Sim=0.84
4. Copy your important files to your chosen backup device. | Sim=0.83
5. This article will guide you through the process of creating a backup of your important files. | Sim=0.81"
Query Context Relevance & Supporting Evidence,LLM,{},,U3BhbkFubm90YXRpb246MzIz,2025-08-18T04:51:56+00:00,2025-08-18T04:51:56+00:00,API,,,0.8256804663682719,"Query–Context relevance: 0.83 (Top-5 avg).
Top supporting context sentences:
1. To set up a conference call on Cisco Webex, follow these steps: | Sim=0.86
2. By following these steps, you can successfully set up and host a conference call on Cisco Webex. | Sim=0.85
3. If you want to enable video conferencing, click on the ""Video"" tab and select ""Cisco Webex Video"" as the default video type. | Sim=0.83
4. In the ""Audio"" section, select ""Cisco Webex Audio"" as the default audio type. | Sim=0.81
5. **Step 1: Log in to Cisco Webex** | Sim=0.78"
